ID;Name;Club;CA;Age;Nati;Position;Division
712;Nacim Dendani;AS Monaco;85;17;TUN;AM (L), ST (C);Ligue 1 Uber Eats
915;Wassim El Abrougui;OL;68;16;TUN;D (R);Ligue 1 Uber Eats
982;Gianni D'Angelo;Strasbourg;60;17;TUN;D (R), WB (RL);Ligue 1 Uber Eats
1197;Elies Araar Fernandez;Strasbourg;70;16;TUN;D/WB (L);Ligue 1 Uber Eats
1310;Rayan Jerbi;OGC Nice;66;17;TUN;D (C);Ligue 1 Uber Eats
367;Abdoulaye Touré;Havre AC;125;29;GUI;DM, M (C);Ligue 1 Uber Eats
520;Morgan Guilavogui;RC Lens;117;25;GUI;AM (R), ST (C);Ligue 1 Uber Eats
526;Issiaga Sylla;Montpellier;125;29;GUI;D/WB (L);Ligue 1 Uber Eats
547;Mohamed Bayo;Havre AC;126;25;GUI;AM (RL), ST (C);Ligue 1 Uber Eats
599;Tafsir Chérif;AS Monaco;93;28;GUI;M/AM (L), ST (C);Ligue 1 Uber Eats
828;Amadou Camara;Toulouse FC;75;18;GUI;AM (LC);Ligue 1 Uber Eats
888;Karamoko Sylla;FC Nantes;84;18;GUI;M/AM (C);Ligue 1 Uber Eats
1062;Abdoulaye Sow;AS Monaco;71;18;GUI;M (C);Ligue 1 Uber Eats
1096;Issiaga Camara;OGC Nice;60;18;GUI;M (C);Ligue 1 Uber Eats
1251;Herba Guirassy;FC Nantes;72;16;GUI;ST (C);Ligue 1 Uber Eats
1288;Ibrahima Diaby;Paris SG;65;16;GUI;DM, M (C);Ligue 1 Uber Eats
380;Mohamed Camara;AS Monaco;137;23;MLI;DM, M (C);Ligue 1 Uber Eats
395;Falaye Sacko;Montpellier;123;28;MLI;D (RL), WB (R);Ligue 1 Uber Eats
525;Kiki Kouyaté;Montpellier;127;26;MLI;D (RC);Ligue 1 Uber Eats
537;Massadio Haïdara;RC Lens;124;30;MLI;D (LC), WB (L);Ligue 1 Uber Eats
593;Kamory Doumbia;Brest;121;20;MLI;M/AM (C);Ligue 1 Uber Eats
609;Moussa Diarra;Toulouse FC;120;22;MLI;D (LC), DM;Ligue 1 Uber Eats
677;Amadou Koné;Reims;100;18;MLI;DM;Ligue 1 Uber Eats
736;Soumaïla Traoré;OM;82;18;MLI;DM;Ligue 1 Uber Eats
779;Nouhoum Kamissoko;OM;80;18;MLI;DM, M (C);Ligue 1 Uber Eats
789;Bourama Diarra;Reims;82;23;MLI;D (L);Ligue 1 Uber Eats
798;Badra Traoré;FC Metz;71;17;MLI;ST (C);Ligue 1 Uber Eats
835;Pape Niama Sissoko;Reims;70;17;MLI;ST (C);Ligue 1 Uber Eats
907;Anto Sekongo;Reims;70;18;MLI;AM (RLC);Ligue 1 Uber Eats
992;Sambou Sissako;Brest;68;18;MLI;DM, M (C);Ligue 1 Uber Eats
423;Edon Zhegrova;LOSC;143;24;KOS;M (RL), AM (RLC);Ligue 1 Uber Eats
451;Elba Rashani;Clermont;123;30;KOS;M (RL), AM (RLC);Ligue 1 Uber Eats
429;Youssouf Ndayishimiye;OGC Nice;133;24;BDI;D (C), DM;Ligue 1 Uber Eats
435;Teddy Teuma;Reims;133;29;MLT;DM, M/AM (C);Ligue 1 Uber Eats
442;Steve Mounié;Brest;129;28;BEN;ST (C);Ligue 1 Uber Eats
482;Aiyegun Tosin;FC Lorient;123;25;BEN;AM (RL), ST (C);Ligue 1 Uber Eats
444;Sanjin Prcić;Strasbourg;125;29;BIH;DM, M (C);Ligue 1 Uber Eats
481;Tino Kadewere;FC Nantes;124;27;ZIM;AM (RC), ST (C);Ligue 1 Uber Eats
570;Marshall Munetsi;Reims;125;27;ZIM;DM, M/AM (C);Ligue 1 Uber Eats
501;Musa Al-Tamari;Montpellier;126;26;JOR;M (R), AM (RL);Ligue 1 Uber Eats
528;Mama Baldé;OL;124;27;GNB;M (R), AM (RL), ST (C);Ligue 1 Uber Eats
539;Fali Candé;FC Metz;123;25;GNB;D (LC), WB (L);Ligue 1 Uber Eats
1051;Mamadou Adi Djalo;Reims;60;17;GNB;M/AM (C);Ligue 1 Uber Eats
532;Ablie Jallow;FC Metz;123;24;GAM;AM (RLC);Ligue 1 Uber Eats
545;Yoann Salmier;Havre AC;125;30;GUF;D (C);Ligue 1 Uber Eats
1236;Taigy Dugard;FC Nantes;72;16;GUF;D (C);Ligue 1 Uber Eats
579;Warren Tchimbembé;FC Metz;112;25;CGO;M/AM (C);Ligue 1 Uber Eats
637;Hákon Arnar Haraldsson;LOSC;128;20;ISL;M (C), AM (LC);Ligue 1 Uber Eats
673;Haukur Andri Haraldsson;LOSC;75;17;ISL;AM (C);Ligue 1 Uber Eats
648;Abdoulaye Ousmane;LOSC;75;23;MTN;D (C), DM, M (C);Ligue 1 Uber Eats
1046;Mohamed Ali Diadié;Reims;50;18;MTN;DM, M (C);Ligue 1 Uber Eats
666;Yannick Pandor;RC Lens;100;22;COM;GK;Ligue 1 Uber Eats
682;Kassim Abdallah;OM;90;36;COM;D/WB (R);Ligue 1 Uber Eats
679;Geoffrey Malfleury;AS Monaco;84;35;MTQ;M/AM (R), ST (C);Ligue 1 Uber Eats
710;Omar Abbas Mvungi;FC Nantes;80;18;TAN;AM (C), ST (C);Ligue 1 Uber Eats
761;Ali Hassan;OL;82;18;SUD;D/WB/M (R);Ligue 1 Uber Eats
763;Keyliane Abdallah;OM;80;17;MAY;ST (C);Ligue 1 Uber Eats
799;Fabio Lohei;FC Metz;79;18;LUX;D/WB (L);Ligue 1 Uber Eats
924;Diego Duarte;FC Metz;69;17;LUX;AM (C), ST (C);Ligue 1 Uber Eats
998;Eliot Thelen;FC Metz;64;16;LUX;DM, M (C);Ligue 1 Uber Eats
833;Edoardo Cavaliere;OGC Nice;70;17;MON;ST (C);Ligue 1 Uber Eats
947;Anthony Toumanian;Strasbourg;65;19;ARM;D/WB (R);Ligue 1 Uber Eats
1141;Mathis-Tahiry Andrianaivo Mahefa;OM;70;15;MAD;D/WB (L);Ligue 1 Uber Eats
1294;Zakariya Mohamed Isack;Toulouse FC;68;15;SOM;AM (C), ST (C);Ligue 1 Uber Eats
1342;Gabriel Guri;Paris SG;65;17;ALB;GK;Ligue 1 Uber Eats
1389;Emiliano Martínez;Aston Villa;157;30;ARG;GK;English Premier Division
1398;Cristian Romero;Tottenham;162;25;ARG;D (C);English Premier Division
1419;Enzo Fernández;Chelsea;158;22;ARG;DM, M/AM (C);English Premier Division
1432;Alexis Mac Allister;Liverpool;158;24;ARG;DM, M/AM (C);English Premier Division
1496;Giovani Lo Celso;Tottenham;140;27;ARG;DM, M (LC), AM (C);English Premier Division
1501;Nicolás Domínguez;Nottm Forest;139;25;ARG;DM, M (C);English Premier Division
1511;Alejandro Garnacho;Man UFC;144;19;ARG;AM (RL);English Premier Division
1529;Lisandro Martínez;Man UFC;155;25;ARG;D (LC);English Premier Division
1544;Emiliano Buendía;Aston Villa;143;26;ARG;AM (RC);English Premier Division
1560;Gonzalo Montiel;Nottm Forest;137;26;ARG;D/WB (R);English Premier Division
1624;Marcos Senesi;Bournemouth;135;26;ARG;D (C);English Premier Division
1696;Facundo Buonanotte;Brighton;134;18;ARG;M (R), AM (RLC);English Premier Division
1794;Valentín Barco;Brighton;130;18;ARG;D/WB (L), M (LC), AM (L);English Premier Division
1373;Thiago;Liverpool;163;32;ESP;DM, M (C);English Premier Division
1395;Ansu Fati;Brighton;153;20;ESP;AM (RLC), ST (C);English Premier Division
1410;Pablo Sarabia;Wolves;152;31;ESP;M (RL), AM (RLC);English Premier Division
1418;Pau Torres;Aston Villa;156;26;ESP;D (C);English Premier Division
1428;David Raya;Arsenal;152;27;ESP;GK;English Premier Division
1451;Pedro Porro;Tottenham;154;23;ESP;D/WB/M (R);English Premier Division
1479;Sergio Reguilón;Brentford;140;26;ESP;D/WB (L);English Premier Division
1492;Adama Traoré;Fulham;137;27;ESP;M/AM (RL);English Premier Division
1504;Marc Cucurella;Chelsea;145;24;ESP;D (LC), WB/M (L);English Premier Division
1505;Álex Moreno;Aston Villa;151;30;ESP;D/WB/M/AM (L);English Premier Division
1523;Bryan Gil;Tottenham;135;22;ESP;M (L), AM (RLC);English Premier Division
1656;Robert Sánchez;Chelsea;142;25;ESP;GK;English Premier Division
1697;Adrián;Liverpool;128;36;ESP;GK;English Premier Division
1773;Hugo Bueno;Wolves;117;20;ESP;D/WB (L);English Premier Division
1787;Stefan Bajčetić;Liverpool;120;18;ESP;D (C), DM, M (C);English Premier Division
1862;Yago Santiago;Tottenham;108;20;ESP;M (C), AM (LC), ST (C);English Premier Division
2219;Michael Dacosta González;Bournemouth;65;18;ESP;AM (RL);English Premier Division
2250;Victor Musa;Man UFC;62;16;ESP;AM (L), ST (C);English Premier Division
2432;Dani Ángel;Wolves;60;17;ESP;ST (C);English Premier Division
1427;Rodrigo Bentancur;Tottenham;156;26;URU;DM, M (C);English Premier Division
1449;Darwin Núñez;Liverpool;156;24;URU;AM (L), ST (C);English Premier Division
1791;Santiago Bueno;Wolves;127;24;URU;D (C);English Premier Division
1371;Raphaël Varane;Man UFC;161;30;FRA;D (C);English Premier Division
1383;Christopher Nkunku;Chelsea;162;25;FRA;M (C), AM (RLC), ST (C);English Premier Division
1406;William Saliba;Arsenal;164;22;FRA;D (C);English Premier Division
1415;Anthony Martial;Man UFC;136;27;FRA;AM (L), ST (C);English Premier Division
1426;Clément Lenglet;Aston Villa;140;28;FRA;D (C);English Premier Division
1430;Kurt Zouma;West Ham;150;28;FRA;D (RC);English Premier Division
1450;Alphonse Areola;West Ham;140;30;FRA;GK;English Premier Division
1455;Moussa Diaby;Aston Villa;153;23;FRA;AM (RLC), ST (C);English Premier Division
1459;Lucas Digne;Aston Villa;141;29;FRA;D/WB (L);English Premier Division
1463;Ibrahima Konaté;Liverpool;156;24;FRA;D (C);English Premier Division
1475;Michael Olise;Crystal Palace;150;21;FRA;AM (RC);English Premier Division
1518;Wesley Fofana;Chelsea;151;22;FRA;D (C);English Premier Division
1539;Boubacar Kamara;Aston Villa;147;23;FRA;DM, M (C);English Premier Division
1545;Odsonne Edouard;Crystal Palace;135;25;FRA;AM (LC), ST (C);English Premier Division
1618;Issa Diop;Fulham;134;26;FRA;D (C);English Premier Division
1632;Benoît Badiashile;Chelsea;147;22;FRA;D (C);English Premier Division
1651;Jean-Philippe Mateta;Crystal Palace;129;26;FRA;ST (C);English Premier Division
1674;Neal Maupay;Brentford;128;26;FRA;ST (C);English Premier Division
1694;Malo Gusto;Chelsea;138;20;FRA;D/WB (R), M (C);English Premier Division
1710;Axel Disasi;Chelsea;148;25;FRA;D (C);English Premier Division
1712;Malang Sarr;Chelsea;130;24;FRA;D (LC);English Premier Division
1725;Romain Faivre;Bournemouth;132;24;FRA;M/AM (RC);English Premier Division
1750;Wilson Odobert;Burnley;129;18;FRA;M/AM (RL);English Premier Division
1763;Jean-Ricner Bellegarde;Wolves;133;25;FRA;M (C), AM (RC);English Premier Division
1814;Naouirou Ahamada;Crystal Palace;121;21;FRA;DM, M/AM (C);English Premier Division
1832;Lorenz Assignon;Burnley;126;23;FRA;D/WB (R);English Premier Division
1839;Han-Noah Massengo;Burnley;122;21;FRA;DM, M (C);English Premier Division
1849;Maxime Estève;Burnley;125;21;FRA;D (C);English Premier Division
1851;Lesley Ugochukwu;Chelsea;114;19;FRA;DM, M (C);English Premier Division
1876;Ateef Konaté;Nottm Forest;98;22;FRA;AM (RLC);English Premier Division
1951;Willy Kambwala;Man UFC;98;18;FRA;D (C);English Premier Division
1982;Noha Lemina;Wolves;101;18;FRA;AM (RL);English Premier Division
1382;Luis Díaz;Liverpool;162;26;COL;AM (RL);English Premier Division
1525;Jefferson Lerma;Crystal Palace;137;28;COL;DM, M (C);English Premier Division
1589;Luis Sinisterra;Bournemouth;139;24;COL;M/AM (RL);English Premier Division
1767;Jhon Durán;Aston Villa;121;19;COL;ST (C);English Premier Division
1802;Daniel Muñoz;Crystal Palace;127;27;COL;D (RC), WB (R);English Premier Division
2052;Alexei Rojas Fedorushchenko;Arsenal;73;17;COL;GK;English Premier Division
2236;Devan Tanton;Fulham;65;19;COL;D/WB (R);English Premier Division
1396;Sandro Tonali;Newcastle;157;23;ITA;DM, M (C);English Premier Division
1404;Jorginho;Arsenal;149;31;ITA;DM, M (C);English Premier Division
1412;Nicolò Zaniolo;Aston Villa;145;24;ITA;AM (RLC), ST (C);English Premier Division
1467;Guglielmo Vicario;Tottenham;155;26;ITA;GK;English Premier Division
1480;Destiny Udogie;Tottenham;146;20;ITA;D/WB (L);English Premier Division
1570;Emerson;West Ham;139;28;ITA;D/WB (L);English Premier Division
1630;Angelo Ogbonna;West Ham;135;35;ITA;D (C);English Premier Division
1717;Luca Koleosho;Burnley;131;18;ITA;M/AM (RL), ST (C);English Premier Division
1774;Cesare Casadei;Chelsea;123;20;ITA;M/AM (C);English Premier Division
2025;Halid Djankpata;Everton;75;18;ITA;AM (C), ST (C);English Premier Division
2319;Temple Ojinnaka;Wolves;60;18;ITA;D (C), DM, M (C);English Premier Division
1533;Fabian Schär;Newcastle;148;31;SUI;D (C);English Premier Division
1746;Zeki Amdouni;Burnley;135;22;SUI;AM (LC), ST (C);English Premier Division
2006;Kristian Šekularac;Fulham;82;19;SUI;M (C), AM (RLC);English Premier Division
1919;Lucas Bergström;Chelsea;120;20;FIN;GK;English Premier Division
1927;Jimi Tauriainen;Chelsea;90;19;FIN;DM, M/AM (C);English Premier Division
1446;Edson Álvarez;West Ham;151;25;MEX;D (C), DM, M (C);English Premier Division
1495;Raúl Jiménez;Fulham;135;32;MEX;ST (C);English Premier Division
1397;Dejan Kulusevski;Tottenham;160;23;SWE;M (R), AM (RC);English Premier Division
1421;Alexander Isak;Newcastle;156;23;SWE;ST (C);English Premier Division
1424;Victor Lindelöf;Man UFC;142;28;SWE;D (C);English Premier Division
1599;Robin Olsen;Aston Villa;128;33;SWE;GK;English Premier Division
1713;Emil Krafth;Newcastle;129;28;SWE;D/WB (R);English Premier Division
1771;Anthony Elanga;Nottm Forest;128;21;SWE;M/AM (RL);English Premier Division
1843;Hjalmar Ekdal;Burnley;124;24;SWE;D (C);English Premier Division
1984;Casper Nilsson;Brighton;82;19;SWE;D/WB (R);English Premier Division
2295;Genesis Antwi;Chelsea;60;16;SWE;D (RC), WB (R);English Premier Division
1392;Kai Havertz;Arsenal;152;24;GER;M/AM (C), ST (C);English Premier Division
1422;Bernd Leno;Fulham;145;31;GER;GK;English Premier Division
1472;Timo Werner;Tottenham;143;27;GER;AM (L), ST (C);English Premier Division
1547;Vitaly Janelt;Brentford;138;25;GER;DM, M (C);English Premier Division
1558;Pascal Groß;Brighton;149;32;GER;DM, M/AM (C);English Premier Division
1597;Loris Karius;Newcastle;129;30;GER;GK;English Premier Division
1613;Kevin Schade;Brentford;137;21;GER;AM (RLC), ST (C);English Premier Division
1704;Jordan Beyer;Burnley;134;23;GER;D (RC), WB (R);English Premier Division
1884;Noël Atom;Brighton;92;18;GER;D (C);English Premier Division
1889;Steven Benda;Fulham;119;24;GER;GK;English Premier Division
1928;Jordan Amissah;Sheff Utd;90;21;GER;GK;English Premier Division
1990;Melkamu Frauendorf;Liverpool;85;19;GER;M (RC), AM (RL);English Premier Division
2378;Coby Ebere;Everton;60;17;GER;M/AM (L), ST (C);English Premier Division
1417;Tyler Adams;Bournemouth;142;24;USA;D/WB (R), DM, M (C);English Premier Division
1435;Matt Turner;Nottm Forest;138;29;USA;GK;English Premier Division
1564;Giovanni Reyna;Nottm Forest;136;20;USA;M (C), AM (RLC);English Premier Division
1565;Tim Ream;Fulham;134;35;USA;D (LC);English Premier Division
1574;Chris Richards;Crystal Palace;134;23;USA;D (RLC);English Premier Division
1594;Antonee Robinson;Fulham;139;25;USA;D/WB (L);English Premier Division
1793;Auston Trusty;Sheff Utd;126;24;USA;D (C);English Premier Division
2016;Matteo Ritaccio;Liverpool;72;21;USA;DM, M (C), AM (LC);English Premier Division
2259;Alexander Borto;Fulham;70;19;USA;GK;English Premier Division
2348;Keyrol Figueroa;Liverpool;56;16;USA;AM (RL), ST (C);English Premier Division
1454;Łukasz Fabiański;West Ham;135;38;POL;GK;English Premier Division
1550;Matty Cash;Aston Villa;139;25;POL;D/WB/M (R);English Premier Division
1610;Jakub Kiwior;Arsenal;143;23;POL;D (LC), DM;English Premier Division
1711;Jakub Moder;Brighton;139;24;POL;DM, M/AM (C);English Premier Division
1979;Mateusz Musiałowski;Liverpool;81;19;POL;AM (RLC), ST (C);English Premier Division
2039;Fabian Mrozek;Liverpool;75;19;POL;GK;English Premier Division
2051;Michal Rosiak;Arsenal;77;17;POL;D (R), DM, M (C);English Premier Division
2129;Levis Pitan;Sheff Utd;65;18;POL;D (C);English Premier Division
1490;Kaoru Mitoma;Brighton;149;26;JPN;M/AM (L);English Premier Division
1522;Takehiro Tomiyasu;Arsenal;150;24;JPN;D (RLC), WB (RL);English Premier Division
1593;Wataru Endo;Liverpool;143;30;JPN;DM, M (C);English Premier Division
1769;Daiki Hashioka;Luton;114;24;JPN;D (RC), WB/M (R);English Premier Division
1436;Youri Tielemans;Aston Villa;147;26;BEL;DM, M/AM (C);English Premier Division
1437;Leandro Trossard;Arsenal;154;28;BEL;AM (RLC), ST (C);English Premier Division
1438;Divock Origi;Nottm Forest;137;28;BEL;ST (C);English Premier Division
1562;Roméo Lavia;Chelsea;134;19;BEL;DM, M (C);English Premier Division
1569;Timothy Castagne;Fulham;139;27;BEL;D/WB/M (RL);English Premier Division
1598;Amadou Onana;Everton;137;21;BEL;DM, M (C);English Premier Division
1689;Albert Sambi Lokonga;Luton;137;23;BEL;DM, M (C);English Premier Division
1698;Matz Sels;Nottm Forest;136;31;BEL;GK;English Premier Division
1735;Manuel Benson;Burnley;129;26;BEL;M/AM (RL), ST (C);English Premier Division
1761;Mike Trésor;Burnley;127;24;BEL;AM (LC);English Premier Division
1778;Hannes Delcroix;Burnley;123;24;BEL;D (C);English Premier Division
1785;Thomas Kaminski;Luton;130;30;BEL;GK;English Premier Division
1812;Ameen Al-Dakhil;Burnley;122;21;BEL;D (C);English Premier Division
1907;Enock Agyei;Burnley;96;18;BEL;AM (RL);English Premier Division
1516;Manor Solomon;Tottenham;135;23;ISR;AM (RLC);English Premier Division
1484;Ivo Grbić;Sheff Utd;138;27;CRO;GK;English Premier Division
1448;Pervis Estupiñán;Brighton;155;25;ECU;D/WB/M (L);English Premier Division
1470;Moisés Caicedo;Chelsea;156;21;ECU;DM, M (C);English Premier Division
1375;Declan Rice;Arsenal;176;24;ENG;D (C), DM, M (C);English Premier Division
1377;Raheem Sterling;Chelsea;161;28;ENG;M/AM (RL);English Premier Division
1378;Bukayo Saka;Arsenal;174;21;ENG;AM (RL);English Premier Division
1381;Marcus Rashford;Man UFC;160;25;ENG;AM (L), ST (C);English Premier Division
1384;Reece James;Chelsea;161;23;ENG;D (RC), WB (R);English Premier Division
1387;Trent Alexander-Arnold;Liverpool;162;24;ENG;D/WB (R), DM, M (C);English Premier Division
1388;Mason Mount;Man UFC;156;24;ENG;M (C), AM (RLC);English Premier Division
1393;Kieran Trippier;Newcastle;159;32;ENG;D/WB (R);English Premier Division
1402;James Maddison;Tottenham;159;26;ENG;M (LC), AM (RLC);English Premier Division
1408;Callum Wilson;Newcastle;151;31;ENG;ST (C);English Premier Division
1409;Nick Pope;Newcastle;147;31;ENG;GK;English Premier Division
1411;Luke Shaw;Man UFC;159;27;ENG;D (LC), WB (L);English Premier Division
1413;Marc Guéhi;Crystal Palace;151;22;ENG;D (C);English Premier Division
1414;Harry Maguire;Man UFC;145;30;ENG;D (C);English Premier Division
1423;Benjamin White;Arsenal;155;25;ENG;D (RC);English Premier Division
1431;Ivan Toney;Brentford;150;27;ENG;ST (C);English Premier Division
1433;Aaron Ramsdale;Arsenal;148;25;ENG;GK;English Premier Division
1434;Cole Palmer;Chelsea;140;21;ENG;M (C), AM (RLC);English Premier Division
1440;Ben Chilwell;Chelsea;155;26;ENG;D/WB (L);English Premier Division
1441;James Ward-Prowse;West Ham;150;28;ENG;DM, M/AM (C);English Premier Division
1452;Jordan Pickford;Everton;150;29;ENG;GK;English Premier Division
1456;Conor Gallagher;Chelsea;149;23;ENG;DM, M/AM (C);English Premier Division
1457;Lewis Dunk;Brighton;154;31;ENG;D (C);English Premier Division
1460;Emile Smith Rowe;Arsenal;148;22;ENG;M (C), AM (RLC);English Premier Division
1461;Dominic Calvert-Lewin;Everton;150;26;ENG;ST (C);English Premier Division
1462;Aaron Wan-Bissaka;Man UFC;143;25;ENG;D (R);English Premier Division
1466;James Milner;Brighton;141;37;ENG;D/WB (RL), DM, M (C);English Premier Division
1469;Adam Lallana;Brighton;146;35;ENG;DM, M/AM (C);English Premier Division
1477;Ebere Eze;Crystal Palace;148;25;ENG;M (C), AM (LC);English Premier Division
1486;Jarrod Bowen;West Ham;155;26;ENG;M/AM (RL), ST (C);English Premier Division
1488;Rico Henry;Brentford;145;25;ENG;D/WB (L);English Premier Division
1494;Ollie Watkins;Aston Villa;146;27;ENG;AM (RL), ST (C);English Premier Division
1507;Rob Holding;Crystal Palace;134;27;ENG;D (C);English Premier Division
1508;Ross Barkley;Luton;141;29;ENG;DM, M/AM (C);English Premier Division
1509;Ben Mee;Brentford;140;33;ENG;D (LC);English Premier Division
1510;Tino Livramento;Newcastle;140;20;ENG;D (RL), WB (R);English Premier Division
1512;Jack Harrison;Everton;136;26;ENG;M (RL), AM (RLC);English Premier Division
1517;Joe Gomez;Liverpool;151;26;ENG;D (RLC);English Premier Division
1519;Trevoh Chalobah;Chelsea;148;23;ENG;D (RC), DM;English Premier Division
1520;Tyrone Mings;Aston Villa;145;30;ENG;D (LC);English Premier Division
1521;Danny Welbeck;Brighton;146;32;ENG;AM (RL), ST (C);English Premier Division
1524;Eddie Nketiah;Arsenal;148;24;ENG;AM (RL), ST (C);English Premier Division
1531;James Tarkowski;Everton;140;30;ENG;D (C);English Premier Division
1535;Curtis Jones;Liverpool;149;22;ENG;M (C), AM (LC);English Premier Division
1536;Danny Ings;West Ham;135;30;ENG;ST (C);English Premier Division
1537;Harvey Barnes;Newcastle;140;25;ENG;M (L), AM (RLC);English Premier Division
1538;Callum Hudson-Odoi;Nottm Forest;140;22;ENG;M (RL), AM (RLC);English Premier Division
1541;Reiss Nelson;Arsenal;147;23;ENG;M/AM (RL);English Premier Division
1546;Tyrick Mitchell;Crystal Palace;138;23;ENG;D/WB (L);English Premier Division
1551;Anthony Gordon;Newcastle;148;22;ENG;AM (RLC), ST (C);English Premier Division
1553;Ezri Konsa;Aston Villa;147;25;ENG;D (C);English Premier Division
1559;Dominic Solanke;Bournemouth;141;25;ENG;ST (C);English Premier Division
1571;Morgan Gibbs-White;Nottm Forest;134;23;ENG;M (C), AM (RC);English Premier Division
1573;Fraser Forster;Tottenham;136;35;ENG;GK;English Premier Division
1575;Harvey Elliott;Liverpool;147;20;ENG;M (C), AM (R);English Premier Division
1578;Solly March;Brighton;149;28;ENG;WB/M/AM (RL);English Premier Division
1580;Dean Henderson;Crystal Palace;137;26;ENG;GK;English Premier Division
1584;Max Aarons;Bournemouth;130;23;ENG;D/WB (R);English Premier Division
1585;Ryan Sessegnon;Tottenham;137;23;ENG;D/WB/M/AM (L);English Premier Division
1586;Adam Webster;Brighton;141;28;ENG;D (C);English Premier Division
1587;Tom Heaton;Man UFC;126;37;ENG;GK;English Premier Division
1588;Jacob Ramsey;Aston Villa;141;22;ENG;M (C), AM (LC);English Premier Division
1590;Joe Willock;Newcastle;145;23;ENG;M (C);English Premier Division
1591;Calum Chambers;Aston Villa;134;28;ENG;D (RC), DM;English Premier Division
1600;Sam Johnstone;Crystal Palace;137;30;ENG;GK;English Premier Division
1602;Lewis Hall;Newcastle;125;18;ENG;D (LC), WB (L), DM, M/AM (C);English Premier Division
1605;Dan Burn;Newcastle;140;31;ENG;D (LC);English Premier Division
1608;Oliver Skipp;Tottenham;136;22;ENG;DM, M (C);English Premier Division
1614;Ashley Young;Everton;130;37;ENG;D/WB/M (RL);English Premier Division
1620;Craig Dawson;Wolves;138;33;ENG;D (C);English Premier Division
1621;Jason Steele;Brighton;145;32;ENG;GK;English Premier Division
1622;Will Hughes;Crystal Palace;130;28;ENG;DM, M (RC);English Premier Division
1625;Michael Keane;Everton;128;30;ENG;D (C);English Premier Division
1636;James Trafford;Burnley;133;20;ENG;GK;English Premier Division
1638;Jarrad Branthwaite;Everton;136;21;ENG;D (RLC);English Premier Division
1639;Josh Dasilva;Brentford;133;24;ENG;M (C);English Premier Division
1640;Matthew Targett;Newcastle;134;27;ENG;D/WB (L);English Premier Division
1642;James Garner;Everton;137;22;ENG;DM, M (C);English Premier Division
1645;Sean Longstaff;Newcastle;138;25;ENG;DM, M (C);English Premier Division
1650;James Tomkins;Crystal Palace;124;34;ENG;D (C);English Premier Division
1654;Dwight McNeil;Everton;135;23;ENG;M/AM (RL), ST (C);English Premier Division
1655;Max Kilman;Wolves;136;26;ENG;D (C);English Premier Division
1661;Aaron Cresswell;West Ham;132;33;ENG;D (LC), WB (L);English Premier Division
1664;Josh Brownhill;Burnley;135;27;ENG;DM, M (RC), AM (C);English Premier Division
1667;Marcus Tavernier;Bournemouth;135;24;ENG;M (LC), AM (RLC);English Premier Division
1670;Ben Godfrey;Everton;132;25;ENG;D (RC);English Premier Division
1672;Harrison Reed;Fulham;136;28;ENG;DM, M (RC);English Premier Division
1676;Mason Holgate;Sheff Utd;125;26;ENG;D (RC);English Premier Division
1678;Lewis Cook;Bournemouth;134;26;ENG;DM, M (C);English Premier Division
1682;Tom Davies;Sheff Utd;127;25;ENG;DM, M (C);English Premier Division
1683;Tosin Adarabioyo;Fulham;135;25;ENG;D (C);English Premier Division
1688;Jack Cork;Burnley;125;34;ENG;DM, M (C);English Premier Division
1690;Kobbie Mainoo;Man UFC;136;18;ENG;DM, M/AM (C);English Premier Division
1691;Andros Townsend;Luton;129;31;ENG;M (R), AM (RL);English Premier Division
1693;Joel Ward;Crystal Palace;127;33;ENG;D (RLC);English Premier Division
1695;Kortney Hause;Aston Villa;130;27;ENG;D (LC);English Premier Division
1700;Jacob Murphy;Newcastle;136;28;ENG;M/AM (RL);English Premier Division
1701;Ben Johnson;West Ham;133;23;ENG;D (RL);English Premier Division
1703;Keane Lewis-Potter;Brentford;132;22;ENG;M (RL), AM (RLC);English Premier Division
1708;Jamaal Lascelles;Newcastle;129;29;ENG;D (C);English Premier Division
1709;Lloyd Kelly;Bournemouth;133;24;ENG;D (LC);English Premier Division
1716;Nathaniel Clyne;Crystal Palace;125;32;ENG;D (RL), WB (R);English Premier Division
1720;Dele Alli;Everton;115;27;ENG;M/AM (C);English Premier Division
1729;Charlie Taylor;Burnley;131;29;ENG;D (LC), WB (L);English Premier Division
1730;Noni Madueke;Chelsea;139;21;ENG;M (RL), AM (RLC);English Premier Division
1734;Max Lowe;Sheff Utd;125;26;ENG;D/WB (L);English Premier Division
1737;Rhian Brewster;Sheff Utd;124;23;ENG;ST (C);English Premier Division
1739;Levi Colwill;Chelsea;141;20;ENG;D (LC);English Premier Division
1743;Nathan Redmond;Burnley;125;29;ENG;AM (RLC);English Premier Division
1744;Nathan Ferguson;Crystal Palace;113;22;ENG;D (RLC);English Premier Division
1751;Elijah Adebayo;Luton;128;25;ENG;ST (C);English Premier Division
1752;Carney Chukwuemeka;Chelsea;125;19;ENG;M/AM (C);English Premier Division
1753;Lewis Miley;Newcastle;129;17;ENG;DM, M/AM (C);English Premier Division
1755;Adam Smith;Bournemouth;129;32;ENG;D/WB (RL);English Premier Division
1757;Carlton Morris;Luton;126;27;ENG;AM (L), ST (C);English Premier Division
1758;Ryan Yates;Nottm Forest;130;25;ENG;DM, M (C);English Premier Division
